Time (UTC-04:00),Clicks,Impressions,CTR,Position
2026-04-17T05:00:00,0,10,0%,17.6
2026-04-17T06:00:00,1,7,14.29%,19.9
2026-04-17T07:00:00,0,10,0%,32.2
2026-04-17T08:00:00,0,13,0%,13.4
2026-04-17T09:00:00,0,13,0%,10.4
2026-04-17T10:00:00,3,17,17.65%,7.6
2026-04-17T11:00:00,0,13,0%,18.8
2026-04-17T12:00:00,0,12,0%,9.9
2026-04-17T13:00:00,0,26,0%,12.5
2026-04-17T14:00:00,0,16,0%,11.3
2026-04-17T15:00:00,0,13,0%,11
2026-04-17T16:00:00,1,32,3.12%,15.9
2026-04-17T17:00:00,1,24,4.17%,9.7
2026-04-17T18:00:00,2,17,11.76%,14.1
2026-04-17T19:00:00,1,16,6.25%,19.2
2026-04-17T20:00:00,1,25,4%,12.2
2026-04-17T21:00:00,3,28,10.71%,10.7
2026-04-17T22:00:00,2,34,5.88%,12.7
2026-04-17T23:00:00,1,25,4%,16.4
2026-04-18T00:00:00,1,25,4%,9.1
2026-04-18T01:00:00,0,14,0%,20.1
2026-04-18T02:00:00,0,2,0%,26.5
2026-04-18T03:00:00,0,0,0%,0
2026-04-18T04:00:00,0,0,0%,0
