Country,Clicks,Impressions,CTR,Position
United States,11,247,4.45%,13.51
Germany,2,2,100%,9
Canada,1,24,4.17%,7.67
Australia,1,12,8.33%,10.67
United Kingdom,1,6,16.67%,9.5
Belgium,1,2,50%,3.5
Brazil,0,10,0%,10.1
India,0,6,0%,36.67
Ireland,0,5,0%,8.2
South Africa,0,4,0%,5.75
Indonesia,0,4,0%,10.5
Argentina,0,4,0%,27.25
Vietnam,0,4,0%,31.25
New Zealand,0,3,0%,10.33
Israel,0,3,0%,13.33
Mexico,0,3,0%,17.33
Algeria,0,2,0%,6.5
Kuwait,0,2,0%,6.5
Dominican Republic,0,2,0%,7
United Arab Emirates,0,2,0%,7.5
Philippines,0,2,0%,16
Portugal,0,2,0%,17.5
Iraq,0,2,0%,20.5
Colombia,0,2,0%,29.5
Jamaica,0,2,0%,31
Pakistan,0,2,0%,33
Morocco,0,2,0%,33.5
Peru,0,2,0%,43.5
Slovakia,0,1,0%,1
Slovenia,0,1,0%,1
Malawi,0,1,0%,2
Italy,0,1,0%,3
France,0,1,0%,5
Romania,0,1,0%,5
Japan,0,1,0%,6
South Korea,0,1,0%,6
Iran,0,1,0%,7
Lithuania,0,1,0%,7
Nicaragua,0,1,0%,7
Switzerland,0,1,0%,8
Saudi Arabia,0,1,0%,9
Bahamas,0,1,0%,10
Ecuador,0,1,0%,10
Croatia,0,1,0%,10
Malaysia,0,1,0%,10
Netherlands,0,1,0%,10
Sweden,0,1,0%,11
Ukraine,0,1,0%,11
Côte d’Ivoire,0,1,0%,12
Hong Kong,0,1,0%,12
Moldova,0,1,0%,12
Norway,0,1,0%,12
Paraguay,0,1,0%,20
Honduras,0,1,0%,36
Azerbaijan,0,1,0%,37
Ethiopia,0,1,0%,39
Egypt,0,1,0%,45
