Country,Clicks,Impressions,CTR,Position
United States,24,1635,1.47%,15.29
Canada,4,140,2.86%,9.86
Germany,3,33,9.09%,7.85
United Kingdom,1,100,1%,12.22
Australia,1,55,1.82%,13.04
Netherlands,1,25,4%,9.68
Mexico,1,20,5%,10.95
New Zealand,1,17,5.88%,9.24
Portugal,1,17,5.88%,14.12
Turkey,1,16,6.25%,7.31
Ireland,1,14,7.14%,8.5
Ukraine,1,14,7.14%,15.71
Italy,1,13,7.69%,8.46
Sweden,1,12,8.33%,9.75
Belgium,1,9,11.11%,9.11
Brazil,0,73,0%,8.86
India,0,49,0%,26.59
France,0,28,0%,8.82
Philippines,0,25,0%,14.16
Indonesia,0,20,0%,13.55
Argentina,0,20,0%,13.75
South Africa,0,19,0%,8.58
Vietnam,0,19,0%,19.42
Spain,0,13,0%,8.31
Denmark,0,12,0%,8.92
Norway,0,12,0%,11.08
Russia,0,11,0%,9.82
Colombia,0,11,0%,11.55
China,0,10,0%,7.6
Hong Kong,0,10,0%,8.1
Romania,0,10,0%,9.8
Malaysia,0,10,0%,13.5
South Korea,0,9,0%,13.67
Egypt,0,9,0%,27.89
Poland,0,8,0%,10.88
Austria,0,8,0%,15.75
Taiwan,0,8,0%,18.88
Finland,0,7,0%,7.57
Switzerland,0,7,0%,8.57
Iran,0,7,0%,9.29
Chile,0,7,0%,9.71
Israel,0,7,0%,13.43
Ecuador,0,6,0%,6
Japan,0,6,0%,9.5
Venezuela,0,6,0%,12.83
Dominican Republic,0,6,0%,18.67
Pakistan,0,6,0%,24.17
Saudi Arabia,0,5,0%,8.6
Bangladesh,0,5,0%,9.4
United Arab Emirates,0,5,0%,9.6
Serbia,0,5,0%,9.6
Singapore,0,5,0%,9.8
Greece,0,5,0%,14
Thailand,0,5,0%,26.8
Algeria,0,4,0%,6
Moldova,0,4,0%,8.5
Croatia,0,4,0%,8.75
Estonia,0,4,0%,10.5
Hungary,0,4,0%,19.5
Morocco,0,4,0%,19.5
Azerbaijan,0,4,0%,27.25
Iraq,0,4,0%,35
Panama,0,3,0%,4.67
Slovakia,0,3,0%,6.33
Kuwait,0,3,0%,7.33
Puerto Rico,0,3,0%,7.67
Lebanon,0,3,0%,10
Guatemala,0,3,0%,15.67
Czechia,0,3,0%,21.67
Jamaica,0,3,0%,24
Peru,0,3,0%,32
Kazakhstan,0,3,0%,43.33
Malta,0,2,0%,4
Belarus,0,2,0%,6
Nepal,0,2,0%,9.5
Latvia,0,2,0%,10
Iceland,0,2,0%,10.5
Uruguay,0,2,0%,10.5
U.S. Virgin Islands,0,2,0%,10.5
Kosovo,0,2,0%,10.5
Nigeria,0,2,0%,11
Paraguay,0,2,0%,14
Jordan,0,2,0%,25
Cuba,0,1,0%,1
Slovenia,0,1,0%,1
Malawi,0,1,0%,2
Qatar,0,1,0%,4
Ghana,0,1,0%,5
Belize,0,1,0%,6
Lithuania,0,1,0%,7
Nicaragua,0,1,0%,7
Albania,0,1,0%,8
St. Barthélemy,0,1,0%,8
Cayman Islands,0,1,0%,8
Cambodia,0,1,0%,8
Palestine,0,1,0%,8
Bahrain,0,1,0%,9
Eritrea,0,1,0%,9
Andorra,0,1,0%,10
Bahamas,0,1,0%,10
Armenia,0,1,0%,11
Sri Lanka,0,1,0%,11
Mongolia,0,1,0%,11
Côte d’Ivoire,0,1,0%,12
Cameroon,0,1,0%,12
Trinidad & Tobago,0,1,0%,12
Tunisia,0,1,0%,16
Georgia,0,1,0%,36
Honduras,0,1,0%,36
Ethiopia,0,1,0%,39
Mozambique,0,1,0%,44
Syria,0,1,0%,45
