Top pages,Clicks,Impressions,CTR,Position
https://booksversusmovies.com/reminders-of-him,13,147,8.84%,8.29
https://booksversusmovies.com/enders-game,0,281,0%,9.32
https://booksversusmovies.com/,0,52,0%,15.17
https://booksversusmovies.com/gone-girl,0,16,0%,9.81
https://booksversusmovies.com/atonement,0,11,0%,10.27
https://booksversusmovies.com/lonesome-dove.html,0,8,0%,28.62
https://booksversusmovies.com/the-firm,0,7,0%,6.71
https://booksversusmovies.com/devil-wears-prada,0,7,0%,10.14
https://booksversusmovies.com/a-beautiful-mind,0,6,0%,7.5
https://booksversusmovies.com/animal-farm,0,6,0%,12.33
https://booksversusmovies.com/people-we-meet-on-vacation,0,6,0%,15.33
https://booksversusmovies.com/silence-of-the-lambs,0,5,0%,9.2
https://booksversusmovies.com/the-odyssey.html,0,4,0%,6.75
https://booksversusmovies.com/fight-club,0,4,0%,8.25
https://booksversusmovies.com/the-secret-life-of-bees,0,4,0%,26.75
https://booksversusmovies.com/where-the-crawdads-sing.html,0,3,0%,4.67
https://booksversusmovies.com/one-day,0,3,0%,5.33
https://booksversusmovies.com/la-confidential,0,3,0%,7.67
https://booksversusmovies.com/american-psycho,0,3,0%,8.33
https://booksversusmovies.com/reminders-of-him.html,0,3,0%,8.33
https://booksversusmovies.com/big-fish,0,3,0%,9
https://booksversusmovies.com/margos-got-money-troubles,0,3,0%,9
https://booksversusmovies.com/the-longest-ride,0,3,0%,9
https://booksversusmovies.com/all-the-light-we-cannot-see.html,0,3,0%,11.67
https://booksversusmovies.com/one-flew-over-the-cuckoos-nest,0,3,0%,12.33
https://booksversusmovies.com/the-thursday-murder-club.html,0,3,0%,13.67
https://booksversusmovies.com/bridgerton,0,3,0%,15.67
https://booksversusmovies.com/a-walk-to-remember,0,3,0%,19.67
https://booksversusmovies.com/remarkably-bright-creatures,0,3,0%,26.67
https://booksversusmovies.com/shawshank-redemption,0,3,0%,33.67
https://booksversusmovies.com/the-fault-in-our-stars,0,2,0%,6.5
https://booksversusmovies.com/room,0,2,0%,9
https://booksversusmovies.com/catch-22,0,2,0%,11
https://booksversusmovies.com/no-country-for-old-men,0,2,0%,27.5
https://booksversusmovies.com/girl-on-the-train,0,2,0%,28.5
https://booksversusmovies.com/the-help,0,2,0%,29
https://booksversusmovies.com/pachinko,0,2,0%,29.5
https://booksversusmovies.com/all-quiet-on-the-western-front.html,0,1,0%,2
https://booksversusmovies.com/project-hail-mary,0,1,0%,2
https://booksversusmovies.com/remains-of-the-day.html,0,1,0%,2
https://booksversusmovies.com/about-a-boy,0,1,0%,3
https://booksversusmovies.com/verity.html,0,1,0%,5
https://booksversusmovies.com/annihilation,0,1,0%,6
https://booksversusmovies.com/fourth-wing.html,0,1,0%,8
https://booksversusmovies.com/pride-and-prejudice.html,0,1,0%,8
https://booksversusmovies.com/wuthering-heights.html,0,1,0%,8
https://booksversusmovies.com/a-knight-of-the-seven-kingdoms,0,1,0%,9
https://booksversusmovies.com/english-patient,0,1,0%,9
https://booksversusmovies.com/hunger-games-sunrise,0,1,0%,9
https://booksversusmovies.com/hunger-games-sunrise.html,0,1,0%,9
https://booksversusmovies.com/remarkably-bright-creatures.html,0,1,0%,9
https://booksversusmovies.com/a-man-called-ove,0,1,0%,10
https://booksversusmovies.com/american-gods.html,0,1,0%,10
https://booksversusmovies.com/one-day.html,0,1,0%,10
https://booksversusmovies.com/pachinko.html,0,1,0%,10
https://booksversusmovies.com/a-little-life.html,0,1,0%,11
https://booksversusmovies.com/dark-matter,0,1,0%,11
https://booksversusmovies.com/it-muschietti.html,0,1,0%,11
https://booksversusmovies.com/never-let-me-go.html,0,1,0%,11
https://booksversusmovies.com/a-little-life,0,1,0%,12
https://booksversusmovies.com/hamnet,0,1,0%,12
https://booksversusmovies.com/into-the-wild,0,1,0%,13
https://booksversusmovies.com/the-three-body-problem.html,0,1,0%,29
https://booksversusmovies.com/it-ends-with-us.html,0,1,0%,36
https://booksversusmovies.com/pride-and-prejudice,0,1,0%,37
https://booksversusmovies.com/silence-of-the-lambs.html,0,1,0%,39
https://booksversusmovies.com/misery.html,0,1,0%,43
https://booksversusmovies.com/spotlight-lonesome-dove,0,1,0%,46
https://booksversusmovies.com/spotlight-fight-club,0,1,0%,48
https://booksversusmovies.com/misery,0,1,0%,50
