filename,itemReviewedName,itemReviewedAuthor,genre,verdictBadge,releaseDate,dateUpdated,imagePath,url
"a-beautiful-mind.html","A Beautiful Mind","BooksVersusMovies.com","General","Too Close to Call","2026","2026-04-11","images/a-beautiful-mind.jpg","https://booksversusmovies.com/reviews/a-beautiful-mind.html"
"a-knight-of-the-seven-kingdoms.html","A Knight of the Seven Kingdoms","BooksVersusMovies.com","General","Too Close to Call","2026","2026-04-11","images/a-knight-of-the-seven-kingdoms.jpg","https://booksversusmovies.com/reviews/a-knight-of-the-seven-kingdoms.html"
"a-little-life.html","A Little Life","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/a-little-life.jpg","https://booksversusmovies.com/reviews/a-little-life.html"
"a-man-called-ove.html","A Man Called Ove","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/a-man-called-ove.jpg","https://booksversusmovies.com/reviews/a-man-called-ove.html"
"a-walk-to-remember.html","A Walk to Remember","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/a-walk-to-remember.jpg","https://booksversusmovies.com/reviews/a-walk-to-remember.html"
"about-a-boy.html","About a Boy","BooksVersusMovies.com","General","Too Close to Call","2026","2026-04-11","images/about-a-boy.jpg","https://booksversusmovies.com/reviews/about-a-boy.html"
"all-quiet-on-the-western-front.html","All Quiet on the Western Front","BooksVersusMovies.com","General","Too Close to Call","2026","2026-04-11","images/all-quiet-on-the-western-front.jpg","https://booksversusmovies.com/reviews/all-quiet-on-the-western-front.html"
"all-the-light-we-cannot-see.html","All the Light We Cannot See","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/all-the-light-we-cannot-see.jpg","https://booksversusmovies.com/reviews/all-the-light-we-cannot-see.html"
"along-came-a-spider.html","Along Came a Spider","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/along-came-a-spider.jpg","https://booksversusmovies.com/reviews/along-came-a-spider.html"
"american-gods.html","American Gods","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/american-gods.jpg","https://booksversusmovies.com/reviews/american-gods.html"
"american-psycho.html","American Psycho","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/american-psycho.jpg","https://booksversusmovies.com/reviews/american-psycho.html"
"animal-farm.html","Animal Farm","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/animal-farm.jpg","https://booksversusmovies.com/reviews/animal-farm.html"
"annihilation.html","Annihilation","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/annihilation.jpg","https://booksversusmovies.com/reviews/annihilation.html"
"atonement.html","Atonement","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/atonement.jpg","https://booksversusmovies.com/reviews/atonement.html"
"band-of-brothers.html","Band of Brothers","BooksVersusMovies.com","General","Too Close to Call","2026","2026-04-11","images/band-of-brothers.jpg","https://booksversusmovies.com/reviews/band-of-brothers.html"
"beloved.html","Beloved","BooksVersusMovies.com","General","Book Wins","2026","2026-04-11","images/beloved.jpg","https://booksversusmovies.com/reviews/beloved.html"
