Top pages,Clicks,Impressions,CTR,Position
https://booksversusmovies.com/reminders-of-him,12,125,9.6%,8.14
https://booksversusmovies.com/it-muschietti.html,2,3,66.67%,18
https://booksversusmovies.com/margos-got-money-troubles.html,1,13,7.69%,13.23
https://booksversusmovies.com/remarkably-bright-creatures,1,10,10%,7.2
https://booksversusmovies.com/no-country-for-old-men.html,1,4,25%,36.5
https://booksversusmovies.com/,0,42,0%,13.6
https://booksversusmovies.com/reminders-of-him.html,0,15,0%,7.8
https://booksversusmovies.com/project-hail-mary.html,0,13,0%,28.54
https://booksversusmovies.com/devil-wears-prada.html,0,12,0%,8.83
https://booksversusmovies.com/the-firm,0,12,0%,9.42
https://booksversusmovies.com/gone-girl,0,10,0%,4.5
https://booksversusmovies.com/people-we-meet-on-vacation,0,9,0%,17.33
https://booksversusmovies.com/devil-wears-prada,0,8,0%,7.5
https://booksversusmovies.com/ready-player-one,0,7,0%,22.29
https://booksversusmovies.com/one-day.html,0,6,0%,8.83
https://booksversusmovies.com/the-odyssey.html,0,6,0%,9
https://booksversusmovies.com/animal-farm.html,0,6,0%,9.17
https://booksversusmovies.com/a-beautiful-mind,0,5,0%,6.6
https://booksversusmovies.com/the-secret-life-of-bees,0,5,0%,7.4
https://booksversusmovies.com/never-let-me-go.html,0,5,0%,8.6
https://booksversusmovies.com/american-gods.html,0,5,0%,19.6
https://booksversusmovies.com/lonesome-dove.html,0,5,0%,35.2
https://booksversusmovies.com/about-a-boy,0,4,0%,2.5
https://booksversusmovies.com/la-confidential,0,4,0%,7.5
https://booksversusmovies.com/the-longest-ride,0,4,0%,8
https://booksversusmovies.com/pride-and-prejudice,0,4,0%,20.75
https://booksversusmovies.com/gone-girl.html,0,4,0%,23.5
https://booksversusmovies.com/lonesome-dove,0,4,0%,34.75
https://booksversusmovies.com/spotlight-lonesome-dove,0,4,0%,37.5
https://booksversusmovies.com/girl-on-the-train,0,3,0%,4.67
https://booksversusmovies.com/remains-of-the-day.html,0,3,0%,6
https://booksversusmovies.com/english-patient,0,3,0%,6.67
https://booksversusmovies.com/catch-22,0,3,0%,8
https://booksversusmovies.com/the-handmaids-tale,0,3,0%,9
https://booksversusmovies.com/animal-farm,0,3,0%,11.67
https://booksversusmovies.com/shawshank-redemption,0,3,0%,21
https://booksversusmovies.com/remarkably-bright-creatures.html,0,3,0%,21.67
https://booksversusmovies.com/wild.html,0,3,0%,23.67
https://booksversusmovies.com/spotlight-fight-club,0,3,0%,85.33
https://booksversusmovies.com/atonement.html,0,2,0%,1
https://booksversusmovies.com/should-you-read-the-book-first,0,2,0%,1.5
https://booksversusmovies.com/hunger-games-sunrise.html,0,2,0%,2
https://booksversusmovies.com/into-the-wild,0,2,0%,5.5
https://booksversusmovies.com/room,0,2,0%,6.5
https://booksversusmovies.com/one-flew-over-the-cuckoos-nest,0,2,0%,9.5
https://booksversusmovies.com/dark-matter.html,0,2,0%,11
https://booksversusmovies.com/margos-got-money-troubles,0,2,0%,12
https://booksversusmovies.com/pachinko.html,0,2,0%,17.5
https://booksversusmovies.com/enders-game,0,2,0%,18.5
https://booksversusmovies.com/the-great-gatsby,0,2,0%,23.5
https://booksversusmovies.com/big-fish,0,2,0%,39
https://booksversusmovies.com/frankenstein,0,2,0%,46
https://booksversusmovies.com/fight-club,0,1,0%,2
https://booksversusmovies.com/the-housemaid.html,0,1,0%,3
https://booksversusmovies.com/a-man-called-ove,0,1,0%,5
https://booksversusmovies.com/it-ends-with-us.html,0,1,0%,5
https://booksversusmovies.com/bridgerton.html,0,1,0%,6
https://booksversusmovies.com/the-shining,0,1,0%,7
https://booksversusmovies.com/verity.html,0,1,0%,8
https://booksversusmovies.com/all-the-light-we-cannot-see,0,1,0%,9
https://booksversusmovies.com/all-the-light-we-cannot-see.html,0,1,0%,11
https://booksversusmovies.com/silence-of-the-lambs.html,0,1,0%,11
https://booksversusmovies.com/the-fault-in-our-stars,0,1,0%,11
https://booksversusmovies.com/dune,0,1,0%,12
https://booksversusmovies.com/american-psycho,0,1,0%,19
https://booksversusmovies.com/annihilation.html,0,1,0%,23
https://booksversusmovies.com/a-knight-of-the-seven-kingdoms.html,0,1,0%,26
https://booksversusmovies.com/misery,0,1,0%,27
https://booksversusmovies.com/dune.html,0,1,0%,28
https://booksversusmovies.com/the-shining.html,0,1,0%,28
https://booksversusmovies.com/wuthering-heights,0,1,0%,34
https://booksversusmovies.com/frankenstein.html,0,1,0%,38
https://booksversusmovies.com/bridgerton,0,1,0%,39
https://booksversusmovies.com/spotlight-the-shining,0,1,0%,41
https://booksversusmovies.com/verity,0,1,0%,50
https://booksversusmovies.com/pride-and-prejudice.html,0,1,0%,88
