============================================================
Script:  pipeline-revise
Started: 2026-04-15T00:03:09.528Z
============================================================
[00:03:09.531] [INFO ] Model config loaded from config/models.json
[00:03:09.533] [INFO ] Titles model:  anthropic/claude-sonnet-4-5 (temp: 0.4)
[00:03:09.534] [INFO ] Loaded pass1b-titles.txt (2740 chars)
[00:03:09.534] [INFO ] pipeline-revise.js
[00:03:09.534] [INFO ] Pass:    titles
[00:03:09.534] [INFO ] Files:   166
[00:03:09.534] [INFO ] Force:   no
[00:03:09.535] [INFO ] Dry run: no
[00:03:09.535] [INFO ] Delay:   500ms between calls

── Processing ───────────────────────────────────
[00:03:09.536] [SKIP ] a-beautiful-mind.json (already exists in 2-revised)
[00:03:10.038] [SKIP ] a-knight-of-the-seven-kingdoms.json (already exists in 2-revised)
[00:03:10.541] [SKIP ] a-little-life.json (already exists in 2-revised)
[00:03:11.057] [SKIP ] a-man-called-ove.json (already exists in 2-revised)
[00:03:11.559] [SKIP ] a-walk-to-remember.json (already exists in 2-revised)
[00:03:12.060] [SKIP ] about-a-boy.json (already exists in 2-revised)
[00:03:12.576] [SKIP ] all-quiet-on-the-western-front.json (already exists in 2-revised)
[00:03:13.077] [SKIP ] all-the-light-we-cannot-see.json (already exists in 2-revised)
[00:03:13.594] [SKIP ] along-came-a-spider.json (already exists in 2-revised)
[00:03:14.094] [SKIP ] american-gods.json (already exists in 2-revised)
[00:03:14.596] [SKIP ] american-psycho.json (already exists in 2-revised)
[00:03:15.098] [SKIP ] animal-farm.json (already exists in 2-revised)
[00:03:15.609] [SKIP ] annihilation.json (already exists in 2-revised)
[00:03:16.112] [SKIP ] atonement.json (already exists in 2-revised)
[00:03:16.614] [SKIP ] band-of-brothers.json (already exists in 2-revised)
[00:03:17.116] [SKIP ] beloved.json (already exists in 2-revised)
[00:03:17.632] [SKIP ] big-fish.json (already exists in 2-revised)
[00:03:18.133] [SKIP ] big-little-lies-hbo.json (already exists in 2-revised)
[00:03:18.646] [SKIP ] breakfast-at-tiffanys.json (already exists in 2-revised)
[00:03:19.149] [SKIP ] bridgerton.json (already exists in 2-revised)
[00:03:19.651] [SKIP ] brooklyn.json (already exists in 2-revised)
[00:03:20.166] [SKIP ] catch-22.json (already exists in 2-revised)
[00:03:20.669] [SKIP ] catch-me-if-you-can.json (already exists in 2-revised)
[00:03:21.170] [SKIP ] cold-mountain.json (already exists in 2-revised)
[00:03:21.684] [SKIP ] contact.json (already exists in 2-revised)
[00:03:22.186] [SKIP ] da-vinci-code.json (already exists in 2-revised)
[00:03:22.703] [SKIP ] daisy-jones-and-the-six.json (already exists in 2-revised)
[00:03:23.204] [SKIP ] dark-matter.json (already exists in 2-revised)
[00:03:23.718] [SKIP ] devil-wears-prada.json (already exists in 2-revised)
[00:03:24.220] [SKIP ] divergent.json (already exists in 2-revised)
[00:03:24.722] [SKIP ] doctor-sleep.json (already exists in 2-revised)
[00:03:25.224] [SKIP ] dracula.json (already exists in 2-revised)
[00:03:25.740] [SKIP ] dune.json (already exists in 2-revised)
[00:03:26.256] [SKIP ] eat-pray-love.json (already exists in 2-revised)
[00:03:26.758] [SKIP ] enders-game.json (already exists in 2-revised)
