============================================================
Script:  pipeline-revise
Started: 2026-04-12T14:27:35.547Z
============================================================
[14:27:35.550] [INFO ] Model config loaded from config/models.json
[14:27:35.551] [INFO ] Pass 2 model:  anthropic/claude-haiku-4-5 (temp: 0.4)
[14:27:35.552] [INFO ] Loaded pass2-conversion.txt (1941 chars)
[14:27:35.552] [INFO ] pipeline-revise.js
[14:27:35.552] [INFO ] Pass:    2
[14:27:35.552] [INFO ] Files:   163
[14:27:35.552] [INFO ] Force:   no
[14:27:35.552] [INFO ] Dry run: no
[14:27:35.552] [INFO ] Delay:   500ms between calls

── Processing ───────────────────────────────────
[14:27:35.571] [SKIP ] a-beautiful-mind.json (already exists in 2-revised)
[14:27:36.076] [SKIP ] a-knight-of-the-seven-kingdoms.json (already exists in 2-revised)
[14:27:36.590] [SKIP ] a-little-life.json (already exists in 2-revised)
[14:27:37.099] [SKIP ] a-man-called-ove.json (already exists in 2-revised)
[14:27:37.602] [SKIP ] a-walk-to-remember.json (already exists in 2-revised)
[14:27:38.104] [SKIP ] about-a-boy.json (already exists in 2-revised)
[14:27:38.618] [SKIP ] all-quiet-on-the-western-front.json (already exists in 2-revised)
[14:27:39.130] [SKIP ] all-the-light-we-cannot-see.json (already exists in 2-revised)
[14:27:39.635] [SKIP ] along-came-a-spider.json (already exists in 2-revised)
[14:27:40.138] [SKIP ] american-gods.json (already exists in 2-revised)
[14:27:40.652] [SKIP ] american-psycho.json (already exists in 2-revised)
[14:27:41.168] [SKIP ] animal-farm.json (already exists in 2-revised)
[14:27:41.671] [SKIP ] annihilation.json (already exists in 2-revised)
[14:27:42.183] [SKIP ] atonement.json (already exists in 2-revised)
[14:27:42.685] [SKIP ] band-of-brothers.json (already exists in 2-revised)
[14:27:43.200] [SKIP ] beloved.json (already exists in 2-revised)
[14:27:43.701] [SKIP ] big-fish.json (already exists in 2-revised)
[14:27:44.206] [SKIP ] big-little-lies-hbo.json (already exists in 2-revised)
[14:27:44.722] [SKIP ] breakfast-at-tiffanys.json (already exists in 2-revised)
[14:27:45.229] [SKIP ] bridgerton.json (already exists in 2-revised)
[14:27:45.736] [SKIP ] brooklyn.json (already exists in 2-revised)
[14:27:46.243] [SKIP ] catch-22.json (already exists in 2-revised)
[14:27:46.754] [SKIP ] catch-me-if-you-can.json (already exists in 2-revised)
[14:27:47.259] [SKIP ] cold-mountain.json (already exists in 2-revised)
[14:27:47.776] [SKIP ] contact.json (already exists in 2-revised)
[14:27:48.289] [SKIP ] da-vinci-code.json (already exists in 2-revised)
[14:27:48.800] [SKIP ] daisy-jones-and-the-six.json (already exists in 2-revised)
[14:27:49.310] [SKIP ] dark-matter.json (already exists in 2-revised)
[14:27:49.814] [SKIP ] devil-wears-prada.json (already exists in 2-revised)
[14:27:50.322] [SKIP ] divergent.json (already exists in 2-revised)
[14:27:50.828] [SKIP ] doctor-sleep.json (already exists in 2-revised)
[14:27:51.333] [SKIP ] dracula.json (already exists in 2-revised)
[14:27:51.849] [SKIP ] dune.json (already exists in 2-revised)
[14:27:52.354] [SKIP ] eat-pray-love.json (already exists in 2-revised)
[14:27:52.860] [SKIP ] enders-game.json (already exists in 2-revised)
[14:27:53.363] [SKIP ] enders-game-film.json (already exists in 2-revised)
[14:27:53.879] [SKIP ] english-patient.json (already exists in 2-revised)
[14:27:54.396] [SKIP ] everything-everything.json (already exists in 2-revised)
[14:27:54.903] [SKIP ] fight-club.json (already exists in 2-revised)
[14:27:55.417] [SKIP ] five-feet-apart.json (already exists in 2-revised)
[14:27:55.931] [SKIP ] fourth-wing.json (already exists in 2-revised)
[14:27:56.441] [SKIP ] frankenstein.json (already exists in 2-revised)
[14:27:56.955] [SKIP ] geralds-game.json (already exists in 2-revised)
[14:27:57.459] [SKIP ] girl-on-the-train.json (already exists in 2-revised)
[14:27:57.969] [SKIP ] girl-with-the-dragon-tattoo.json (already exists in 2-revised)
[14:27:58.482] [SKIP ] gone-girl.json (already exists in 2-revised)
[14:27:58.990] [SKIP ] good-omens.json (already exists in 2-revised)
[14:27:59.492] [SKIP ] hamnet.json (already exists in 2-revised)
[14:27:59.998] [SKIP ] hannibal-series.json (already exists in 2-revised)
[14:28:00.509] [SKIP ] heated-rivalry.json (already exists in 2-revised)
[14:28:01.026] [SKIP ] high-fidelity.json (already exists in 2-revised)
[14:28:01.527] [SKIP ] hillbilly-elegy.json (already exists in 2-revised)
[14:28:02.041] [SKIP ] hitchhikers-guide.json (already exists in 2-revised)
[14:28:02.544] [SKIP ] howls-moving-castle.json (already exists in 2-revised)
[14:28:03.059] [SKIP ] hunger-games-sunrise.json (already exists in 2-revised)
[14:28:03.566] [SKIP ] i-am-legend.json (already exists in 2-revised)
[14:28:04.076] [SKIP ] i-robot.json (already exists in 2-revised)
[14:28:04.592] [SKIP ] interview-with-the-vampire-amcplus.json (already exists in 2-revised)
[14:28:05.096] [SKIP ] into-the-wild.json (already exists in 2-revised)
[14:28:05.614] [SKIP ] it-ends-with-us.json (already exists in 2-revised)
[14:28:06.128] [SKIP ] it-muschietti.json (already exists in 2-revised)
[14:28:06.645] [SKIP ] jane-eyre.json (already exists in 2-revised)
[14:28:07.160] [SKIP ] jurassic-park.json (already exists in 2-revised)
[14:28:07.667] [SKIP ] kite-runner.json (already exists in 2-revised)
[14:28:08.176] [SKIP ] la-confidential.json (already exists in 2-revised)
[14:28:08.693] [SKIP ] les-miserables.json (already exists in 2-revised)
[14:28:09.198] [SKIP ] little-women.json (already exists in 2-revised)
[14:28:09.701] [SKIP ] lonesome-dove.json (already exists in 2-revised)
[14:28:10.211] [SKIP ] looking-for-alaska.json (already exists in 2-revised)
[14:28:10.712] [SKIP ] lord-of-the-flies.json (already exists in 2-revised)
