BooksVersusMovies.com — Titles Sanity Check
===========================================
Generated: 2026-04-12
Source:    C:\Users\andre\projects\movies\pipeline\2-revised
Pages:     163
Target:    65 chars  |  Hard max: 75 chars

a-beautiful-mind: A Beautiful Mind: Nasar's Chaos vs Crowe's Controlled Unraveling  (64)
a-knight-of-the-seven-kingdoms: A Knight of the Seven Kingdoms: Martin's Warmth, HBO's Scale  (60)
a-little-life: A Little Life: Yanagihara's Prose Does What van Hove Can't  (58)
a-man-called-ove: A Man Called Ove: Backman's Ove Breaks Your Heart. Holm's Charms.  (65)
a-walk-to-remember: A Walk to Remember: Sparks Earns the Tears Moore Only Borrows  (61)
about-a-boy: About a Boy: Hornby's Precision vs Grant's Charm — Both Win  (59)
all-quiet-on-the-western-front: All Quiet: Remarque Was There. Berger Makes You Feel It.  (56)
all-the-light-we-cannot-see: All the Light We Cannot See: Doerr's Prose Is the Story  (55)
along-came-a-spider: Along Came a Spider: Patterson's Twists Work. The Film Just Lies.  (65)
american-gods: American Gods: Fuller's Visuals Can't Save What Gaiman Built Slow  (65)
american-psycho: American Psycho: Ellis's Bateman Is Unfilmable. Harron Knows It.  (64)
animal-farm: Animal Farm: Book vs Movie — George Orwell vs Andy Serkis  (57)
annihilation: Annihilation: VanderMeer's Horror Accumulates. Garland's Explodes.  ⚠ slightly long (66)
atonement: Atonement: Wright's Film Is Beautiful. McEwan's Novel Haunts.  (61)
band-of-brothers: Band of Brothers: Ambrose Gives You History. HBO Gives You War.  (63)
beloved: Beloved: Morrison's Prose Does What Demme's Images Can't  (56)
big-fish: Big Fish: Burton's Excess Saves What Wallace Kept Spare  (55)
big-little-lies-hbo: Big Little Lies: Moriarty's Wit Meets Kidman's Fury in Rare Tie  (63)
breakfast-at-tiffanys: Breakfast at Tiffany's: Capote's Holly vs Hepburn's Icon  (56)
bridgerton: Bridgerton: Quinn's Simon Is Broken. The Show's Is Just Brooding.  (65)
brooklyn: Brooklyn: Tóibín's Silences Are What Ronan Can't Show  (53)
catch-22: Catch-22: Heller's Circular Logic Is What Nichols Can't Film  (60)
catch-me-if-you-can: Catch Me If You Can: Abagnale's Hustle vs Spielberg's Heart  (59)
cold-mountain: Cold Mountain: Frazier's Prose Is the Journey. The Film's Just Pretty.  ⚠ slightly long (70)
contact: Contact: Sagan's Science vs. Foster's Faith — Both Essential  (60)
da-vinci-code: The Da Vinci Code: Brown's Mechanism Works. Howard's Doesn't.  (61)
daisy-jones-and-the-six: Daisy Jones: Reid's Oral History Does What the Series Can't  (59)
dark-matter: Dark Matter: Crouch's Thriller vs Edgerton's Performance  (56)
devil-wears-prada: Devil Wears Prada: Weisberger's Andy Has Teeth Streep Can't  (59)
divergent: Divergent: Roth's Moral Weight Becomes Burger's Action Blur  (59)
doctor-sleep: Doctor Sleep: King's Danny Survives. Flanagan's Just Remembers.  (63)
dracula: Dracula: Stoker's Restraint Terrifies. Coppola Just Dazzles.  (60)
dune: Dune: Villeneuve Shows the Desert. Herbert Shows the Trap.  (58)
eat-pray-love: Eat Pray Love: Gilbert's Wit Gets Lost in Murphy's Scenery  (58)
enders-game-film: Ender's Game: Card's Ender Thinks. Hood's Ender Just Fights.  (60)
enders-game: Ender's Game: Card's Moral Weight Lost in Hood's Rush to Battle  (63)
english-patient: The English Patient: Ondaatje's Strange Novel vs Minghella's Epic  (65)
everything-everything: Everything, Everything: Yoon's Twist Lands. The Film Just Shrugs.  (65)
fight-club: Fight Club: Palahniuk's Chaos vs Fincher's Control  (50)
five-feet-apart: Five Feet Apart: The Book Gives Stella a Voice Baldoni Can't  (60)
fourth-wing: Fourth Wing: Read Yarros Now — The Series Hasn't Earned You Yet  (63)
frankenstein: Frankenstein: Shelley's Creature Speaks. Del Toro's Just Roars.  (63)
geralds-game: Gerald's Game: King's Inner Voice Does What Flanagan Can't  (58)
girl-on-the-train: The Girl on the Train: Blunt Can't Save What London Made Work  (61)
girl-with-the-dragon-tattoo: Dragon Tattoo: Fincher Made a Thriller. Larsson Made Lisbeth.  (61)
gone-girl: Gone Girl: Flynn's Amy vs Pike's Amy — You Need Both  (52)
good-omens: Good Omens: Pratchett's Wit on the Page, Sheen's Heart on Screen  (64)
hamnet: Hamnet: O'Farrell's Grief Lives in Prose Zhao Can't Film  (56)
hannibal-series: Hannibal: Harris Created the Monster. Fuller Made Him Beautiful.  (64)
heated-rivalry: Heated Rivalry: Reid's Intimacy vs Tierney's Restraint  (54)
high-fidelity: High Fidelity: Hornby's London Ache vs Cusack's Chicago Charm  (61)
hillbilly-elegy: Hillbilly Elegy: Vance's Nuance Becomes Howard's Melodrama  (58)
hitchhikers-guide: Hitchhiker's Guide: Adams' Prose IS the Joke. The Film Has None.  (64)
howls-moving-castle: Howl's Moving Castle: Jones Gives Sophie Power. Miyazaki Dreams.  (64)
hunger-games-sunrise: Hunger Games: Sunrise on the Reaping — Collins vs. Lawrence 2026  (64)
i-am-legend: I Am Legend: Matheson's Ending Redefines Horror. The Film Blinks.  (65)
i-robot: I, Robot: Asimov's Puzzles vs. Will Smith's Punches  (51)
interview-with-the-vampire-amcplus: Interview with the Vampire: Rice's Grief Cuts Deeper Than AMC Can  (65)
