title,image,affiliate_link,trailer_url
The Devil Wears Prada ,devil-wears-prada.jpg,https://amzn.to/3NJk1wV,https://www.youtube.com/watch?v=e9HXmMnUEdE
Where the Crawdads Sing ,where-the-crawdads_sing.jpg,https://amzn.to/3Ol0R0m,https://www.youtube.com/watch?v=PY3808Iq0Tg
Normal People ,normal-people.jpg,https://amzn.to/4c9vYUH,https://www.youtube.com/watch?v=x1JQuWxt3cE
Pachinko ,Pachinko.jpg,https://amzn.to/3QiwCaV,https://www.youtube.com/watch?v=5ZPLzTyNptw
The Road,the-road.jpg,https://amzn.to/41h94pk,https://www.youtube.com/watch?v=bO8EqMsxOiU
One Flew Over the Cuckoo's Nest,one-flew-over-the-cuckoos-nest.jpg,https://amzn.to/4sdzVh4,https://www.youtube.com/watch?v=OXrcDonY-B8
Beloved ,beloved.jpg,https://amzn.to/4m7e0a1,https://www.youtube.com/watch?v=RAsnKghD2uw
Frankenstein ,frankenstein.jpg,https://amzn.to/4sMTnlN,https://www.youtube.com/watch?v=x--N03NO130
Schindler's List,schindlers-list.jpg,https://amzn.to/3PS76t2,https://www.youtube.com/watch?v=mxphAlJID9U
Lonesome Dove,lonesome-dove.jpg,https://amzn.to/4e0XAOc,https://www.youtube.com/watch?v=g1Xq4lYcHLw
